tier,company,website,drop_reason
B,Miller Cooper & Co.,millercooper.com,
B,Novogradac & Company,novoco.com,
B,Pinion,pinionglobal.com,
B,Rehmann,rehmann.com,
B,RubinBrown,rubinbrown.com,
B,SingerLewak,singerlewak.com,
B,The Bonadio Group,bonadio.com,
B,Whitley Penn,whitleypenn.com,
B,AAFCPAs,aafcpa.com,
B,AdamsBrown,adamsbrowncpa.com,
B,Aldrich,aldrichadvisors.com,
B,BMSS,bmss.com,
B,Baker Newman Noyes,bnncpa.com,
B,Boulay,boulaygroup.com,
B,Brady Martz,bradymartz.com,
B,Brown Edwards & Company,becpas.com,
B,Cain Watters & Associates,cainwatters.com,
B,Clark Nuber,clarknuber.com,
B,GBQ Partners,gbq.com,
B,GHJ,ghjadvisors.com,
B,GRF CPAs & Advisors,grfcpa.com,
B,Gursey Schneider,gursey.com,
B,HHM CPAs,hhmcpas.com,
B,Haynie & Company,hayniecpas.com,
B,Honkamp,honkamp.com,
B,Johnson Lambert,johnsonlambert.com,
B,Kahn Litwin Renza (KLR),kahnlitwin.com,
B,Kemper CPA Group,kempercpa.com,
B,Kreischer Miller,kmco.com,
B,Meaden & Moore,meadenmoore.com,
B,Miller Kaplan,millerkaplan.com,
B,PBMares,pbmares.com,
B,Rea,reacpa.com,
B,Tanner LLC,tannerco.com,
B,Windes,windes.com,
B,Wiss & Company,wiss.com,
B,YHB CPAs & Consultants,yhbcpa.com,
B,America First Credit Union,americafirst.com,
B,Banc of California,bancofcal.com,
B,Bank of Hawaii Corp,boh.com,
B,Banner Corp,bannerbank.com,
B,CAPTRUST Financial Advisors,captrust.com,
B,CMG Financial,cmgfi.com,
B,Cathay General Bancorp,cathaybank.com,
B,Central Bancompany,centralbancompany.com,
B,Corient,corient.com,
B,Creative Planning,creativeplanning.com,
B,Eastern Bankshares,easternbank.com,
B,Enterprise Financial Services,enterprisebank.com,
B,Exeter Finance,exeterfinance.com,
B,Fairway Independent Mortgage,fairwayindependentmc.com,
B,First Busey Corp,busey.com,
B,First Financial Bankshares,ffin.com,
B,First Hawaiian Inc,fhb.com,
B,First Interstate BancSystem,firstinterstatebank.com,
B,First PREMIER Bank / PREMIER Bankcard,firstpremier.com,
B,FourLeaf Federal Credit Union,fourleaffcu.org,
B,Glacier Bancorp,glacierbancorp.com,
B,Global Credit Union,globalcu.org,
B,Golden 1 Credit Union,golden1.com,
B,GreenSky,greensky.com,
B,Guild Mortgage,guildmortgage.com,
B,Hightower Advisors,hightoweradvisors.com,
B,Home BancShares (Centennial Bank),homebancshares.com,
B,Idaho Central Credit Union,iccu.com,
B,Independent Bank Corp (Rockland Trust),rocklandtrust.com,
B,International Bancshares Corp,ibc.com,
B,Kestra Financial,kestrafinancial.com,
B,Lake Michigan Credit Union,lmcu.org,
B,Mariner,marinerwealthadvisors.com,
B,Mariner Finance,marinerfinance.com,
B,Marqeta,marqeta.com,
B,Mechanics Bank,mechanicsbank.com,
B,Movement Mortgage,movement.com,
B,New American Funding,newamericanfunding.com,
B,North American Bancard (North),north.com,
B,Pathward Financial,pathward.com,
B,Payoneer,payoneer.com,
B,Priority Technology Holdings,prioritycommerce.com,
B,Provident Financial Services,provident.bank,
B,Randolph-Brooks Federal Credit Union,rbfcu.org,
B,Renasant Corp,renasant.com,
B,Rockefeller Capital Management,rockco.com,
B,Security Service Federal Credit Union,ssfcu.org,
B,ServisFirst Bancshares,servisfirstbank.com,
B,Simmons First National,simmonsbank.com,
B,Suncoast Credit Union,suncoastcreditunion.com,
B,TowneBank,townebank.com,
B,Trustmark Corp,trustmark.com,
B,Wealth Enhancement Group,wealthenhancement.com,
B,WesBanco,wesbanco.com,
B,World Acceptance Corp,worldacceptance.com,
B,AMERISAFE,amerisafe.com,
B,Amarillo National Bank,anb.com,
B,American Savings Bank,asbhawaii.com,
B,BankPlus,bankplus.net,
B,Business First Bancshares (b1BANK),b1bank.com,
B,Centier Bank,centier.com,
B,Delta Community Credit Union,deltacommunitycu.com,
B,Dollar Bank,dollar.bank,
B,Flywire,flywire.com,
B,Lendmark Financial Services,lendmarkfinancial.com,
B,Mercer Advisors,merceradvisors.com,
B,Nicolet Bankshares,nicoletbank.com,
B,OnPoint Community Credit Union,onpointcu.com,
B,Payroc,payroc.com,
B,Peoples Bancorp,peoplesbancorp.com,
B,Planet Home Lending,planethomelending.com,
B,Repay Holdings,repay.com,
B,Sezzle,sezzle.com,
B,Southside Bancshares,southside.com,
B,Stock Yards Bancorp,syb.com,
B,Allworth Financial,allworthfinancial.com,
B,Beacon Pointe Advisors,beaconpointe.com,
B,Capital City Bank Group,ccbg.com,
B,Celero Commerce,celerocommerce.com,
B,Civista Bancshares,civista.bank,
B,Dacotah Banks,dacotahbank.com,
B,EP Wealth Advisors,epwealth.com,
B,First National Bank Alaska,fnbalaska.com,
B,Fortis Payment Systems,fortispay.com,
B,HomeTrust Bancshares,htb.com,
B,MAI Capital Management,mai.capital,
B,Paramount Residential Mortgage Group (PRMG),prmg.net,
B,Peapack-Gladstone Financial,peapackprivate.com,
B,Savant Wealth Management,savantwealth.com,
B,USA Mortgage (DAS Acquisition),usamortgage.com,
B,Vantage Bank Texas,vantage.bank,
